-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     266.629us         0.01%     266.629us       2.099us           127  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     262.847us         0.01%     262.847us       7.104us            37  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     202.240us         0.00%     202.240us       1.556us           130  
                                           aten::arange         0.01%       1.286ms         0.02%       5.831ms      22.427us     191.782us         0.00%     383.564us       1.475us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     191.782us         0.00%     191.782us       1.475us           130  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     171.876us         0.00%     171.876us       1.364us           126  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     131.073us         0.00%     131.073us       1.365us            96  
     triton_red_fused__to_copy_embedding_mul_rms_norm_0         0.00%      18.135us         0.00%      85.225us      42.612us     124.864us         0.00%     124.864us      62.432us             2  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.383us         0.00%      20.383us       6.794us             3  
                                        cudaGraphLaunch         0.21%      51.484ms         0.24%      58.445ms     332.074us       8.544us         0.00%       8.544us       0.049us           176  
                                Activity Buffer Request         0.04%       9.805ms         0.05%      10.799ms       1.800ms       3.328us         0.00%       1.833ms     305.564us             6  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.600us         0.00%       1.600us       1.600us             1  
                         threading.py(1032): _bootstrap         0.00%       2.475us       140.00%       33.559s        4.794s       0.000us         0.00%       0.000us       0.000us             7  
                   threading.py(1075): _bootstrap_inner         0.00%       8.406us       140.00%       33.559s        4.794s       0.000us         0.00%       0.000us       0.000us             7  
                                threading.py(1012): run         0.00%       3.686us        80.00%       19.176s        4.794s       0.000us         0.00%       0.000us       0.000us             4  
                     vllm/v1/engine/utils.py(268): _run         0.00%       3.507us        20.00%        4.794s        4.794s       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%      10.741us        78.36%       18.784s        4.696s       0.000us         0.00%       0.000us       0.000us             4  
                                threading.py(355): wait         0.00%     587.942us        20.00%        4.795s        2.397s       0.000us         0.00%       0.000us       0.000us             2  
vllm/v1/engine/core.py(1790): process_output_sockets...         0.01%       1.798ms        20.00%        4.794s        4.794s       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%       9.870us         0.00%     611.236us     611.236us       0.000us         0.00%       0.000us       0.000us             1  
