-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.319us         0.00%      20.319us       6.773us             3  
                                   cudaEventSynchronize         5.15%     425.057ms         5.15%     425.057ms       3.270ms       8.704us         0.00%       8.704us       0.067us           130  
                                Activity Buffer Request         0.14%      11.770ms         0.16%      12.912ms       1.845ms       3.105us         0.00%       1.316ms     188.051us             7  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.408us         0.00%       1.408us       1.408us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.248us         0.00%       1.248us       1.248us             1  
                         threading.py(1032): _bootstrap         0.00%       2.557us       175.00%       14.442s        2.063s       0.000us         0.00%       0.000us       0.000us             7  
                   threading.py(1075): _bootstrap_inner         0.00%      12.363us       175.00%       14.442s        2.063s       0.000us         0.00%       0.000us       0.000us             7  
                                threading.py(1012): run         0.00%       3.578us       100.00%        8.253s        2.063s       0.000us         0.00%       0.000us       0.000us             4  
                     vllm/v1/engine/utils.py(268): _run         0.00%       1.162us        25.00%        2.063s        2.063s       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%       5.842us       100.00%        8.253s        2.063s       0.000us         0.00%       0.000us       0.000us             4  
                                threading.py(355): wait         0.01%     624.590us        25.01%        2.064s        1.032s       0.000us         0.00%       0.000us       0.000us             2  
vllm/v1/engine/core.py(1790): process_output_sockets...         0.04%       3.459ms        25.00%        2.063s        2.063s       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%      17.193us         0.01%     702.982us     702.982us       0.000us         0.00%       0.000us       0.000us             1  
    vllm/v1/engine/core.py(1709): process_input_sockets         0.03%       2.599ms        25.00%        2.063s        2.063s       0.000us         0.00%       0.000us       0.000us             1  
                           zmq/sugar/poll.py(106): poll         0.02%       1.397ms         0.02%       1.397ms       1.397ms       0.000us         0.00%       0.000us       0.000us             1  
                              tqdm/_monitor.py(69): run         0.00%       0.670us        75.00%        6.190s        2.063s       0.000us         0.00%       0.000us       0.000us             3  
                                threading.py(359): wait         0.00%       5.811us        75.00%        6.190s        2.063s       0.000us         0.00%       0.000us       0.000us             3  
     vllm/usage/usage_lib.py(173): _report_usage_worker         0.00%       2.575us        25.00%        2.063s        2.063s       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.253s
Self CUDA time total: 2.012s

