-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     427.457us         0.06%     427.457us       1.644us           260  
                                           aten::gather         0.03%       1.966ms         0.05%       2.984ms      22.954us     415.744us         0.06%     415.744us       3.198us           130  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     415.744us         0.06%     415.744us       3.198us           130  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     388.383us         0.05%     388.383us       3.011us           129  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     365.732us         0.05%     365.732us       1.407us           260  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     362.148us         0.05%     362.148us       1.219us           297  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     320.482us         0.04%     320.482us       2.465us           130  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     235.974us         0.03%     235.974us       1.858us           127  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     222.558us         0.03%     222.558us       6.015us            37  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     195.717us         0.03%     195.717us       1.506us           130  
                               cudaEventRecordWithFlags         0.02%       1.253ms         0.02%       1.253ms       1.533us     191.648us         0.03%     191.648us       0.235us           817  
                                           aten::arange         0.02%       1.301ms         0.09%       5.983ms      23.011us     181.727us         0.02%     363.454us       1.398us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     181.727us         0.02%     181.727us       1.398us           130  
                                        cudaGraphLaunch         0.57%      36.618ms         0.67%      42.556ms     272.797us     163.327us         0.02%     163.327us       1.047us           156  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     153.695us         0.02%     153.695us       5.489us            28  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     141.696us         0.02%     141.696us       2.530us            56  
                                     triton_poi_fused_1         0.00%      15.971us         0.00%      65.166us      32.583us      48.448us         0.01%      48.448us      24.224us             2  
                                    cudaStreamWaitEvent         0.00%     142.364us         0.00%     142.364us       1.095us      43.488us         0.01%      43.488us       0.335us           130  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%      19.657us         0.00%      87.538us      43.769us      43.456us         0.01%      43.456us      21.728us             2  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.624us         0.00%      18.624us       6.208us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.824us         0.00%       5.824us       5.824us             1  
                                Activity Buffer Request         0.14%       8.729ms         0.15%       9.782ms       1.956ms       2.880us         0.00%     475.811us      95.162us             5  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.408us         0.00%       1.408us       1.408us             1  
                         threading.py(1032): _bootstrap         0.00%       2.663us       116.67%        7.440s        1.063s       0.000us         0.00%       0.000us       0.000us             7  
                   threading.py(1075): _bootstrap_inner         0.00%       4.710us       116.67%        7.440s        1.063s       0.000us         0.00%       0.000us       0.000us             7  
                                threading.py(1012): run         0.00%       3.978us        66.67%        4.252s        1.063s       0.000us         0.00%       0.000us       0.000us             4  
                     vllm/v1/engine/utils.py(268): _run         0.00%       1.252us        16.67%        1.063s        1.063s       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%      13.255us        53.37%        3.403s     850.865ms       0.000us         0.00%       0.000us       0.000us             4  
                                threading.py(355): wait         0.01%     528.626us        16.68%        1.063s     531.748ms       0.000us         0.00%       0.000us       0.000us             2  
vllm/v1/engine/core.py(1790): process_output_sockets...         0.05%       3.171ms        16.67%        1.063s        1.063s       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%      25.118us         0.01%     657.595us     657.595us       0.000us         0.00%       0.000us       0.000us             1  
    vllm/v1/engine/core.py(1709): process_input_sockets         0.05%       3.218ms        16.67%        1.063s        1.063s       0.000us         0.00%       0.000us       0.000us             1  
                           zmq/sugar/poll.py(106): poll         0.02%       1.454ms         0.02%       1.454ms       1.454ms       0.000us         0.00%       0.000us       0.000us             1  
                              tqdm/_monitor.py(69): run         0.00%      53.976us        50.00%        3.189s        1.063s       0.000us         0.00%       0.000us       0.000us             3  
                                threading.py(359): wait        20.03%        1.277s        36.70%        2.341s     780.177ms       0.000us         0.00%       0.000us       0.000us             3  
     vllm/usage/usage_lib.py(173): _report_usage_worker         0.00%       1.032us        16.67%        1.063s        1.063s       0.000us         0.00%       0.000us       0.000us             1  
vllm/usage/usage_lib.py(255): _report_continuous_usa...        16.67%        1.063s        16.67%        1.063s        1.063s       0.000us         0.00%       0.000us       0.000us             1  
                                  <string>(1): <module>         0.00%       1.153us        16.67%        1.063s        1.063s       0.000us         0.00%     184.141ms     184.141ms             1  
              multiprocessing/spawn.py(122): spawn_main         0.00%       1.102us        16.67%        1.063s        1.063s       0.000us         0.00%     184.141ms     184.141ms             1  
                   multiprocessing/spawn.py(135): _main         0.00%       1.272us        16.67%        1.063s        1.063s       0.000us         0.00%     184.141ms     184.141ms             1  
            multiprocessing/process.py(314): _bootstrap         0.00%       1.182us        16.67%        1.063s        1.063s       0.000us         0.00%     184.141ms     184.141ms             1  
                   multiprocessing/process.py(108): run         0.00%       1.593us        16.67%        1.063s        1.063s       0.000us         0.00%     184.141ms     184.141ms             1  
          vllm/v1/engine/core.py(1339): run_engine_core         0.00%       0.942us        16.67%        1.063s        1.063s       0.000us         0.00%     184.141ms     184.141ms             1  
vllm/v1/fault_tolerance/engine_core_sentinel.py(179)...         0.00%       0.371us        16.67%        1.063s        1.063s       0.000us         0.00%     184.141ms     184.141ms             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.377s
Self CUDA time total: 748.394ms

