-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     231.584us         0.03%     231.584us       6.259us            37  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     193.438us         0.03%     193.438us       1.488us           130  
                                           aten::arange         0.02%       1.326ms         0.12%       6.245ms      24.020us     181.053us         0.02%     362.106us       1.393us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     181.053us         0.02%     181.053us       1.393us           130  
                                        cudaGraphLaunch         0.70%      37.881ms         0.80%      43.178ms     276.782us     165.121us         0.02%     165.121us       1.058us           156  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     164.421us         0.02%     164.421us       1.305us           126  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     154.080us         0.02%     154.080us       5.503us            28  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     141.726us         0.02%     141.726us       2.531us            56  
                                    cudaStreamWaitEvent         0.00%     147.555us         0.00%     147.555us       1.135us      90.849us         0.01%      90.849us       0.699us           130  
                                     triton_poi_fused_1         0.00%      19.277us         0.00%      88.209us      44.105us      47.328us         0.01%      47.328us      23.664us             2  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%      21.873us         0.00%     105.393us      52.697us      44.352us         0.01%      44.352us      22.176us             2  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.648us         0.00%      19.648us       6.549us             3  
                                   cudaEventSynchronize         0.64%      34.346ms         0.64%      34.346ms     264.198us       6.208us         0.00%       6.208us       0.048us           130  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.440us         0.00%       1.440us       1.440us             1  
                         threading.py(1032): _bootstrap         0.00%       3.216us       140.00%        7.564s        1.081s       0.000us         0.00%       0.000us       0.000us             7  
                   threading.py(1075): _bootstrap_inner         0.00%       6.582us       140.00%        7.564s        1.081s       0.000us         0.00%       0.000us       0.000us             7  
                                threading.py(1012): run         0.00%       4.839us        80.00%        4.322s        1.081s       0.000us         0.00%       0.000us       0.000us             4  
                     vllm/v1/engine/utils.py(268): _run         0.00%       1.323us        20.00%        1.081s        1.081s       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%      10.229us        79.98%        4.321s        1.080s       0.000us         0.00%       0.000us       0.000us             4  
                                threading.py(355): wait         0.02%       1.185ms        20.02%        1.082s     540.866ms       0.000us         0.00%       0.000us       0.000us             2  
vllm/v1/engine/core.py(1790): process_output_sockets...         0.03%       1.688ms        20.00%        1.081s        1.081s       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%      16.391us         0.02%       1.253ms       1.253ms       0.000us         0.00%       0.000us       0.000us             1  
    vllm/v1/engine/core.py(1709): process_input_sockets         0.02%     868.171us        20.00%        1.081s        1.081s       0.000us         0.00%       0.000us       0.000us             1  
                           zmq/sugar/poll.py(106): poll         0.03%       1.885ms         0.03%       1.885ms       1.885ms       0.000us         0.00%       0.000us       0.000us             1  
                              tqdm/_monitor.py(69): run         0.00%      29.569us        60.00%        3.241s        1.080s       0.000us         0.00%       0.000us       0.000us             3  
                                threading.py(359): wait        19.98%        1.080s        59.98%        3.241s        1.080s       0.000us         0.00%       0.000us       0.000us             3  
     vllm/usage/usage_lib.py(173): _report_usage_worker         0.00%       1.293us        20.00%        1.080s        1.080s       0.000us         0.00%       0.000us       0.000us             1  
vllm/usage/usage_lib.py(255): _report_continuous_usa...        20.00%        1.080s        20.00%        1.080s        1.080s       0.000us         0.00%       0.000us       0.000us             1  
                                  <string>(1): <module>         0.00%       1.402us        20.00%        1.080s        1.080s       0.000us         0.00%     182.530ms     182.530ms             1  
              multiprocessing/spawn.py(122): spawn_main         0.00%       1.173us        20.00%        1.080s        1.080s       0.000us         0.00%     182.530ms     182.530ms             1  
                   multiprocessing/spawn.py(135): _main         0.00%       1.372us        20.00%        1.080s        1.080s       0.000us         0.00%     182.530ms     182.530ms             1  
            multiprocessing/process.py(314): _bootstrap         0.00%       1.203us        20.00%        1.080s        1.080s       0.000us         0.00%     182.530ms     182.530ms             1  
                   multiprocessing/process.py(108): run         0.00%       1.573us        20.00%        1.080s        1.080s       0.000us         0.00%     182.530ms     182.530ms             1  
          vllm/v1/engine/core.py(1339): run_engine_core         0.00%       1.001us        20.00%        1.080s        1.080s       0.000us         0.00%     182.530ms     182.530ms             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.403s
Self CUDA time total: 743.619ms

