-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     315.228us         0.02%     315.228us       2.425us           130  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     248.485us         0.01%     248.485us       1.957us           127  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     238.880us         0.01%     238.880us       6.456us            37  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     193.633us         0.01%     193.633us       1.489us           130  
                                           aten::arange         0.02%       1.407ms         0.08%       6.225ms      23.944us     181.501us         0.01%     363.002us       1.396us           260  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     181.501us         0.01%     181.501us       1.396us           130  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     164.389us         0.01%     164.389us       1.305us           126  
     triton_red_fused__to_copy_embedding_mul_rms_norm_0         0.00%      19.567us         0.00%     144.728us      72.364us      87.328us         0.00%      87.328us      43.664us             2  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.720us         0.00%      18.720us       6.240us             3  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.368us         0.00%       6.368us       6.368us             1  
                                    cudaStreamWaitEvent         0.00%     143.270us         0.00%     143.270us       1.102us       4.992us         0.00%       4.992us       0.038us           130  
                                Activity Buffer Request         0.14%      11.259ms         0.15%      12.376ms       1.768ms       3.167us         0.00%       1.315ms     187.913us             7  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.536us         0.00%       1.536us       1.536us             1  
                         threading.py(1032): _bootstrap         0.00%       2.745us       175.00%       14.487s        2.070s       0.000us         0.00%       0.000us       0.000us             7  
                   threading.py(1075): _bootstrap_inner         0.00%      10.109us       175.00%       14.487s        2.070s       0.000us         0.00%       0.000us       0.000us             7  
                                threading.py(1012): run         0.00%       3.768us       100.00%        8.279s        2.070s       0.000us         0.00%       0.000us       0.000us             4  
                     vllm/v1/engine/utils.py(268): _run         0.00%       3.397us        25.00%        2.070s        2.070s       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%       8.105us       100.00%        8.279s        2.070s       0.000us         0.00%       0.000us       0.000us             4  
                                threading.py(355): wait         0.01%     613.500us        25.01%        2.070s        1.035s       0.000us         0.00%       0.000us       0.000us             2  
vllm/v1/engine/core.py(1790): process_output_sockets...         0.04%       3.499ms        25.00%        2.070s        2.070s       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%      13.566us         0.01%     674.337us     674.337us       0.000us         0.00%       0.000us       0.000us             1  
    vllm/v1/engine/core.py(1709): process_input_sockets         0.02%       1.592ms        25.00%        2.070s        2.070s       0.000us         0.00%       0.000us       0.000us             1  
                           zmq/sugar/poll.py(106): poll         0.02%       1.275ms         0.02%       1.275ms       1.275ms       0.000us         0.00%       0.000us       0.000us             1  
                              tqdm/_monitor.py(69): run         0.00%       0.833us        75.00%        6.209s        2.070s       0.000us         0.00%       0.000us       0.000us             3  
                                threading.py(359): wait         0.00%       6.762us        75.00%        6.209s        2.070s       0.000us         0.00%       0.000us       0.000us             3  
     vllm/usage/usage_lib.py(173): _report_usage_worker         0.00%       2.515us        25.00%        2.070s        2.070s       0.000us         0.00%       0.000us       0.000us             1  
vllm/usage/usage_lib.py(255): _report_continuous_usa...        25.00%        2.070s        25.00%        2.070s        2.070s       0.000us         0.00%       0.000us       0.000us             1  
                                  <string>(1): <module>         0.00%       1.022us        25.00%        2.070s        2.070s       0.000us         0.00%     533.736ms     533.736ms             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.279s
Self CUDA time total: 2.015s

